1220 Wien, Janis-Joplin-Promenade 12
4400 Steyr, Kaserngasse 1
8075 Hart bei Graz, Günter Knapp-Straße 5-7
8302 Nestelbach bei Graz, Dorfplatz 2
8411 Matzelsdorf, Matzelsdorf 1
8430 Leibnitz, Ottokar Kernstock-Gasse 12
9020 Klagenfurt, Flughafenstraße 60-64
8864 Turracher Höhe, Turracher Höhe 500
9241 Wernberg, Industriestraße 4
9500 Villach, Essachweg 14
9500 Villach, Mösslerstraße 1
9500 Villach, Europastraße 6
9500 Villach, Dreschnigstraße 14
9500 Villach, Maria Gailer Straße 33
9500 Villach, Rathausplatz 1,
9504 Villach, Kadischenallee 25
9871 Seeboden, Seebacher Straße 40
9800 Spittal an der Drau, Villacher Straße 1
9800 Spittal an der Drau, Koschatstraße 42
