1110 Wien, Thürnlhofstrasse 30
1220 Wien, Hausfeldstrasse 167
3420 Kritzendorf, Hauptstrasse 118
2361 Laxenburg, Herzog-Albrecht-Strasse 3
3423 St.Andrae - Woerdern, Hauptstrasse 23
3423 St.Andrae-Woerdern, Tullnerstrasse 30A
2521 Trumau, Schlossgasse 2
2431 Enzersdorf, Schlossgasse 5
2213 Bockfliess, Hauptstrasse 45
2433 Margarethen Am Moos, Hauptplatz 5
2440 Reisenberg, Wasenbruckerstrasse 21
2542 Kottingbrunn, Hauptplatz 4-5
2114 Grossrussbach, Hauptstrasse 38
2454 Trautmannsdorf, Hauptstrasse 68
2602 Blumau-Neurisshof, Feuerwehrstrasse 1
3052 Innermanzing, Hauptstrasse 59
2564 Weissenbach, Hauptstrasse 6
3452 Atzenbrugg, Bgm.Haferl-G. 2
2551 Enzesfeld/Lindabrunn, Hauptstrasse 3
3462 Absdorf, Bahnhofstr. 31
2453 Sommerein, Markt 4
2242 Prottes, Hauptstrasse 24
2126 Ladendorf, Hauptstrasse 33
2224 Obersulz, Nr. 31
2251 Ebenthal, Hauptstrasse 66
3074 Michelbach, Markt 40
3170 Hainfeld, Hauptstrasse 44
7202 Bad Sauerbrunn, Mattersburgerstrasse 27
2801 Katzelsdorf, Hauptstrasse 73
2193 Wilfersdorf, Marktplatz 18
3143 Pyhra, Hauptstrasse 3
2153 Stronsdorf, Stronsdorf 16
2154 Unterstinkenbrunn, Unterstinkenbrunn Nr. 4
7071 Rust, Oggauerstrasse 3
7203 Wiesen, Hauptplatz 3
2272 Niederabsdorf, Hauptstrasse 39
2183 Neusiedl An Der Zaya, Hauskirchner Strasse 6
2181 Dobermannsdorf, Hauptstrasse 63
3121 Karlstetten, St. Pöltnerstrasse 7
3511 Furth-Göttweig, Lambert Karnerstr. 517
3385 Gerersdorf, Gerersdorfer Hauptstrasse 23
3205 Weinburg, Mariazellerstrasse 4
2802 Hochwolkersdorf, Wiesmatherstrasse 2
3192 Hohenberg, Markt 9
7143 Apetlon, Schmiedgasse 11
3232 Bischofstetten, Raiffeisenplatz 3
2811 Wiesmath, Schulstrasse 5
2276 Reintal, Rein 33
2275 Bernhardsthal, Hauptstrasse 345
7323 Ritzing, Hauptstrasse 36
2812 Hollenthon, Kirchenplatz 2/2
