7000 Eisenstadt, Ruster Straße 145
7100 Neusiedl am See, Wiener Straße 108
7210 Mattersburg, Arenaplatz 4/1
2421 Kittsee, Eisenstädter Straße 33
7132 Frauenkirchen, Mönchhofer Straße 5a
7350 Oberpullendorf, Eisenstädter Straße 2
7423 Pinkafeld, Wiener Straße 64
7400 Oberwart, Wiener Straße 65
7540 Güssing, Wiener Straße 27
9400 Wolfsberg, Spanheimerstrasse 19
9400 Wolfsberg, Auenfischerstrasse 38
9330 Treibach-Althofen, Eisenstrasse 46
9100 Völkermarkt, Umfahrungsstraße 4
9300 St. Veit an der Glan, Lastenstraße 9
9141 Eberndorf, An der Bundesstrasse 6
9020 Klagenfurt am Wörthersee, Pischeldorferstrasse 184
9020 Klagenfurt am Wörthersee, Feldkirchner Str. 4-6
9020 Klagenfurt am Wörthersee, Ebentaler Strasse 164
9020 Klagenfurt am Wörthersee, Flatschacher Straße 191
9020 Klagenfurt am Wörthersee, August-Jaksch-Strasse 48
9560 Feldkirchen in Kärnten, Ossiacher Bundesstrasse 6
9220 Velden am Wörther See, Klagenfurter Straße 47
9241 Wernberg, Handeslweg 2
9521 Treffen, Gewerbegebiet
9500 Villach, Klagenfurter Straße 70
9500 Villach, Maria Gailer Strasse 21
9500 Villach, Badstubenweg 89
9871 Seeboden, Hauptstraße 25
9710 Feistritz an der Drau, Villacher Strasse 456
9800 Spittal an der Drau, Koschatstraße 39
9813 Möllbrücke, Altenmarkt 24
9601 Arnoldstein, Kärnter Straße 75
9640 Kötschach-Mauthen, Kötschach-Mauthen 550
2331 Vösendorf, Nordring 16-18
3400 Klosterneuburg, Aufeldgasse 53
2345 Brunn am Gebirge, Feldstrasse 40
2345 Brunn am Gebirge, Leopold-Gattringer Straße 115-117
2103 Langenzersdorf, Meisengasse 8
3002 Purkersdorf, lWiener Strasse  21/B1Wiener Strasse 21/B1
3002 Purkersdorf, Wiener Straße 21 / B1
2340 Mödling, Neudorfer Straße 70-72
2320 Schwechat, Franz Schubert Straße 5
2100 Korneuburg, Wiener Strasse 42
2353 Guntramsdorf, Kammeringstraße 28
2325 Himberg, Gewerbestraße 2
2232 Deutsch Wagram, Dr. Leopold Figl-Gasse 5
2301 Groß-Enzersdorf, Schloßhofer Straße 3-5
3021 Pressbaum, Hauptstraße 74b
2514 Traiskirchen, Wiener Straße 77
2000 Stockerau, Wiener Straße 24
2500 Baden, Dammgasse 62
3430 Tulln an der Donau, Bahnhofstraße 44-46
2483 Ebreichsdorf, Wiener Neustädter Straße 36-38
2540 Bad Vöslau, Badner Straße 100
2542 Kottingbrunn, Wiener Neustädter Straße 40
2230 Gänserndorf, Neusiedler Straße 7
3040 Neulengbach, Florianigasse 2
2603 Felixdorf, Wiener Neustädter Straße 46
2490 Ebenfurth, Wiener Neustädter Straße 10
2560 Berndorf, Hainfelderstraße 33
2460 Bruck an der Leitha, Altstadt 125-127
2130 Mistelbach, Mitschastraße 35a
2020 Hollabrunn, Anton Ehrenfried-Straße 3
2700 Wiener Neustadt, Stadionstraße 44
2700 Wiener Neustadt, Fischauer Gasse 213
2700 Wiener Neustadt, Neudörfler Straße 55
2410 Hainburg an der Donau, Pressburger Reichsstraße 1
3130 Herzogenburg, Wiener Straße 25
3100 St. Pölten, Hermann-Gmeiner-Gasse 1
3100 St. Pölten, Mariazeller Straße 24-26
3100 St. Pölten, Porschestraße 12
3100 St. Pölten, Hermann-Winger-Gasse 14
2620 Neunkirchen, Schraubenwerkstr. 8
2136 Laa an der Thaya, Thayapark 5
3550 Langenlois, Wiener Straße 44a
3500 Krems an der Donau, Hafenstraße 54
3500 Krems an der Donau, Wachaustraße 15-31
2640 Gloggnitz, Wiener Straße 54-56
3580 Horn, Prager Straße 19
3250 Wieselburg, Zeiselgraben 2
3370 Ybbs an der Donau, Bahnhofstraße 1
3910 Zwettl, Kremser Straße 50
3830 Waidhofen an der Thaya, Brunner Straße 29
3300 Amstetten, Wiener Straße 44
3943 Schrems, Josef Widy-Straße 17
3340 Waidhofen an der Ybbs, Wiener Strasse 47
4300 St. Valentin, Westbahnstraße 76
4320 Perg, Naarner Straße 54
4320 Perg, Naarner Str. 54
4310 Mauthausen, Linzer Straße 71
4310 Mauthausen, Linzer Str. 71
4470 Enns, Dr.-Karl-Renner-Straße 20
4470 Enns,  Doktor-Karl-Renner-Straße 20
4240 Freistadt, Scharizer Straße 1
4481 Asten, Handelsring 2
4481 Asten, Handelsring 2
4209 Engerwitzdorf, Linzerberg 21
4400 Steyr, Ennser Straße 12
4400 Steyr, Eisenstraße 44
4020 Linz, Franckstraße 18
4020 Linz, Kaisergasse 16a
4020 Linz, Lastenstraße
4020 Linz, Landwiedstrasse 125
4020 Linz, Salzburger Straße 266
4020 Linz, Schillerplatz 1
4052 Ansfelden, Auweg 1
4522 Sierning, Lagerhausstraße 19
4060 Leonding, Peintner Straße 1
4050 Traun, Kremstalstraße 92
4540 Bad Hall, Bahnhofsplatz 3
4100 Ottensheim, Hostauerstraße 87
4614 Marchtrenk, Viktoria-Weinzierl-Straße 1
4072 Alkoven, Wehrgasse 1
4560 Kirchdorf an der Krems, Am Brauteich 8
4600 Wels, Ginzkeystraße 27
4600 Wels, Magazinstraße 8-10
4600 Wels, Oberfeldstraße 117
